(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1928699079857517,+,NA,NA,+,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4708587363279627,51.01276863168807,84,1293.8678052382095,-2410.313888352243,0,0.539432620774582
-1.195169045241934,+,NA,NA,+,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4693036630207694,50.85158797793553,83,1291.4350613989425,-2407.8457723893903,2.4681159628526075,0.157033617006494
-1.195445176955559,+,NA,NA,+,+,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4670878634518806,50.621912127454785,80,1287.9809698873366,-2407.5374372582487,2.776451093994183,0.134597970342428
-1.1920388530178263,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,+,NA,NA,NA,NA,+,NA,+,0.4687939024848312,50.79908202806745,82,1290.6391473808055,-2407.3635287198754,2.9503596323675083,0.123388519059928
-1.1537855283549605,+,NA,NA,NA,+,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46613191633698714,50.52333581643129,81,1286.495227359768,-2402.00322004744,8.310668304802675,0.0084586004840234
-1.1531922429120125,+,NA,NA,NA,NA,NA,+,+,+,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46765363431894547,50.68120626214777,83,1288.8615525664065,-2401.5977447162604,8.716143635982462,0.00690638307232409
-1.1512657155496389,+,NA,NA,NA,NA,NA,NA,+,+,+,+,+,+,NA,NA,NA,NA,+,NA,+,0.4679735818122265,50.714603853669146,84,1289.3599427619067,-2401.438611500454,8.87527685178884,0.00637815875315201
-1.1896813199141516,+,NA,NA,+,+,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.4650691374384748,50.41322297207,80,1284.8465655597888,-2399.467961436874,10.845926915369091,0.00238108062137054
-1.2004690383490615,+,+,NA,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.4659514195613338,50.504874276277924,82,1286.214996076801,-2399.3659272815726,10.947961070670317,0.00226265148620503
-1.1811451452671484,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.466813752305153,50.594669482437425,83,1287.5546712473551,-2399.27268957816,11.041198774082659,0.00215959023541469
-1.170086480744571,+,NA,NA,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.464294658213217,50.33290869540477,79,1283.6471975819063,-2399.195698241772,11.118190110471005,0.00207803519538801
-1.214203568465887,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,+,NA,NA,+,NA,+,0.4668004788558693,50.59276472449889,83,1287.534033894948,-2399.1875910058347,11.126297346408137,0.00206962868448369
-1.2145969724160914,+,+,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4657282495578191,50.481410432840136,82,1285.8686431520143,-2398.622545352619,11.691342999623885,0.00156025049970211
-1.184969102736621,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,+,+,NA,+,0.4657767804739902,50.48722059231617,82,1285.9439493175355,-2398.470080306435,11.843808045807691,0.00144572924489606
